evaler,evalee,week,rank,token,description,adjective
deng4,yketkar,2,1,10,DESCRIPTION,ADJECTIVE
deng4,jashjhav,2,2,10,DESCRIPTION,ADJECTIVE
deng4,guzh,2,3,10,DESCRIPTION,ADJECTIVE
deng4,bsairamr,2,4,10,DESCRIPTION,ADJECTIVE
deng4,siyer,2,5,10,DESCRIPTION,ADJECTIVE
deng4,yangsis,2,6,10,DESCRIPTION,ADJECTIVE
deng4,vpatani,2,7,10,DESCRIPTION,ADJECTIVE
rohsurve,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
rohsurve,rnedunur,5,2,10,DESCRIPTION,ADJECTIVE
rohsurve,pmpande,5,3,10,DESCRIPTION,ADJECTIVE
rohsurve,deng4,5,4,10,DESCRIPTION,ADJECTIVE
rohsurve,nishshah,5,5,10,DESCRIPTION,ADJECTIVE
rohsurve,mmlele,5,6,10,DESCRIPTION,ADJECTIVE
rohsurve,jashjhav,5,7,10,DESCRIPTION,ADJECTIVE
rohsurve,acsarkis,5,8,10,DESCRIPTION,ADJECTIVE
rohsurve,arivero,5,9,10,DESCRIPTION,ADJECTIVE
rohsurve,bsairamr,5,10,10,DESCRIPTION,ADJECTIVE
rohsurve,samvaity,5,11,10,DESCRIPTION,ADJECTIVE
rohsurve,siyer,5,12,10,DESCRIPTION,ADJECTIVE
rohsurve,yangsis,5,13,10,DESCRIPTION,ADJECTIVE
arivero,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
arivero,rnedunur,5,2,10,DESCRIPTION,ADJECTIVE
arivero,rohsurve,5,3,10,DESCRIPTION,ADJECTIVE
arivero,deng4,5,4,10,DESCRIPTION,ADJECTIVE
arivero,mmlele,5,5,10,DESCRIPTION,ADJECTIVE
arivero,jashjhav,5,6,10,DESCRIPTION,ADJECTIVE
arivero,voraj,5,7,10,DESCRIPTION,ADJECTIVE
arivero,cdingers,5,8,10,DESCRIPTION,ADJECTIVE
arivero,acsarkis,5,9,10,DESCRIPTION,ADJECTIVE
arivero,aykaranj,5,10,10,DESCRIPTION,ADJECTIVE
arivero,samvaity,5,11,10,DESCRIPTION,ADJECTIVE
arivero,yangsis,5,12,10,DESCRIPTION,ADJECTIVE
yketkar,rnedunur,6,1,10,DESCRIPTION,ADJECTIVE
yketkar,rohsurve,6,2,10,DESCRIPTION,ADJECTIVE
yketkar,deng4,6,3,10,DESCRIPTION,ADJECTIVE
yketkar,nishshah,6,4,10,DESCRIPTION,ADJECTIVE
yketkar,mmlele,6,5,10,DESCRIPTION,ADJECTIVE
yketkar,jaynagle,6,6,10,DESCRIPTION,ADJECTIVE
yketkar,jashjhav,6,7,10,DESCRIPTION,ADJECTIVE
yketkar,voraj,6,8,10,DESCRIPTION,ADJECTIVE
yketkar,guzh,6,9,10,DESCRIPTION,ADJECTIVE
yketkar,cdingers,6,10,10,DESCRIPTION,ADJECTIVE
yketkar,asadana,6,11,10,DESCRIPTION,ADJECTIVE
yketkar,acsarkis,6,12,10,DESCRIPTION,ADJECTIVE
yketkar,arivero,6,13,10,DESCRIPTION,ADJECTIVE
yketkar,sshivara,6,14,10,DESCRIPTION,ADJECTIVE
yketkar,yangsis,6,15,10,DESCRIPTION,ADJECTIVE
yketkar,vpatani,6,16,10,DESCRIPTION,ADJECTIVE
nishshah,yketkar,6,1,10,DESCRIPTION,ADJECTIVE
nishshah,rnedunur,6,2,10,DESCRIPTION,ADJECTIVE
nishshah,rohsurve,6,3,10,DESCRIPTION,ADJECTIVE
nishshah,deng4,6,4,10,DESCRIPTION,ADJECTIVE
nishshah,mmlele,6,5,10,DESCRIPTION,ADJECTIVE
nishshah,jaynagle,6,6,10,DESCRIPTION,ADJECTIVE
nishshah,jashjhav,6,7,10,DESCRIPTION,ADJECTIVE
nishshah,voraj,6,8,10,DESCRIPTION,ADJECTIVE
nishshah,guzh,6,9,10,DESCRIPTION,ADJECTIVE
nishshah,cdingers,6,10,10,DESCRIPTION,ADJECTIVE
nishshah,asadana,6,11,10,DESCRIPTION,ADJECTIVE
nishshah,aykaranj,6,12,10,DESCRIPTION,ADJECTIVE
nishshah,samvaity,6,13,10,DESCRIPTION,ADJECTIVE
nishshah,siyer,6,14,10,DESCRIPTION,ADJECTIVE
nishshah,yangsis,6,15,10,DESCRIPTION,ADJECTIVE
jashjhav,yketkar,6,1,10,DESCRIPTION,ADJECTIVE
jashjhav,rohsurve,6,2,10,DESCRIPTION,ADJECTIVE
jashjhav,deng4,6,3,10,DESCRIPTION,ADJECTIVE
jashjhav,nishshah,6,4,10,DESCRIPTION,ADJECTIVE
jashjhav,mmlele,6,5,10,DESCRIPTION,ADJECTIVE
jashjhav,jaynagle,6,6,10,DESCRIPTION,ADJECTIVE
jashjhav,voraj,6,7,10,DESCRIPTION,ADJECTIVE
jashjhav,harranga,6,8,10,DESCRIPTION,ADJECTIVE
jashjhav,guzh,6,9,10,DESCRIPTION,ADJECTIVE
jashjhav,asadana,6,10,10,DESCRIPTION,ADJECTIVE
jashjhav,acsarkis,6,11,10,DESCRIPTION,ADJECTIVE
jashjhav,arivero,6,12,10,DESCRIPTION,ADJECTIVE
jashjhav,aykaranj,6,13,10,DESCRIPTION,ADJECTIVE
jashjhav,bsairamr,6,14,10,DESCRIPTION,ADJECTIVE
jashjhav,sshivara,6,15,10,DESCRIPTION,ADJECTIVE
jashjhav,siyer,6,16,10,DESCRIPTION,ADJECTIVE
jashjhav,vpatani,6,17,10,DESCRIPTION,ADJECTIVE
rohsurve,rnedunur,1,1,10,DESCRIPTION,ADJECTIVE
rohsurve,nishshah,1,2,10,DESCRIPTION,ADJECTIVE
rohsurve,siyer,1,3,10,DESCRIPTION,ADJECTIVE
acsarkis,yketkar,6,1,10,DESCRIPTION,ADJECTIVE
acsarkis,rnedunur,6,2,10,DESCRIPTION,ADJECTIVE
acsarkis,rohsurve,6,3,10,DESCRIPTION,ADJECTIVE
acsarkis,deng4,6,4,10,DESCRIPTION,ADJECTIVE
acsarkis,jaynagle,6,5,10,DESCRIPTION,ADJECTIVE
acsarkis,jashjhav,6,6,10,DESCRIPTION,ADJECTIVE
acsarkis,harranga,6,7,10,DESCRIPTION,ADJECTIVE
acsarkis,guzh,6,8,10,DESCRIPTION,ADJECTIVE
acsarkis,arivero,6,9,10,DESCRIPTION,ADJECTIVE
acsarkis,aykaranj,6,10,10,DESCRIPTION,ADJECTIVE
acsarkis,bsairamr,6,11,10,DESCRIPTION,ADJECTIVE
acsarkis,sshivara,6,12,10,DESCRIPTION,ADJECTIVE
jaynagle,deng4,3,1,10,DESCRIPTION,ADJECTIVE
jaynagle,nishshah,3,2,10,DESCRIPTION,ADJECTIVE
jaynagle,jashjhav,3,3,10,DESCRIPTION,ADJECTIVE
jaynagle,voraj,3,4,10,DESCRIPTION,ADJECTIVE
jaynagle,harranga,3,5,10,DESCRIPTION,ADJECTIVE
jaynagle,guzh,3,6,10,DESCRIPTION,ADJECTIVE
jaynagle,asadana,3,7,10,DESCRIPTION,ADJECTIVE
jaynagle,aykaranj,3,8,10,DESCRIPTION,ADJECTIVE
jaynagle,vpatani,3,9,10,DESCRIPTION,ADJECTIVE
jashjhav,deng4,3,1,10,DESCRIPTION,ADJECTIVE
jashjhav,jaynagle,3,2,10,DESCRIPTION,ADJECTIVE
jashjhav,voraj,3,3,10,DESCRIPTION,ADJECTIVE
jashjhav,guzh,3,4,10,DESCRIPTION,ADJECTIVE
jashjhav,acsarkis,3,5,10,DESCRIPTION,ADJECTIVE
jashjhav,bsairamr,3,6,10,DESCRIPTION,ADJECTIVE
jashjhav,sshivara,3,7,10,DESCRIPTION,ADJECTIVE
jashjhav,siyer,3,8,10,DESCRIPTION,ADJECTIVE
guzh,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
guzh,pmpande,5,2,10,DESCRIPTION,ADJECTIVE
guzh,deng4,5,3,10,DESCRIPTION,ADJECTIVE
guzh,nishshah,5,4,10,DESCRIPTION,ADJECTIVE
guzh,jaynagle,5,5,10,DESCRIPTION,ADJECTIVE
guzh,jashjhav,5,6,10,DESCRIPTION,ADJECTIVE
guzh,harranga,5,7,10,DESCRIPTION,ADJECTIVE
guzh,asadana,5,8,10,DESCRIPTION,ADJECTIVE
guzh,acsarkis,5,9,10,DESCRIPTION,ADJECTIVE
guzh,aykaranj,5,10,10,DESCRIPTION,ADJECTIVE
guzh,bsairamr,5,11,10,DESCRIPTION,ADJECTIVE
guzh,samvaity,5,12,10,DESCRIPTION,ADJECTIVE
guzh,sshivara,5,13,10,DESCRIPTION,ADJECTIVE
guzh,yangsis,5,14,10,DESCRIPTION,ADJECTIVE
guzh,vpatani,5,15,10,DESCRIPTION,ADJECTIVE
asadana,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
asadana,rnedunur,5,2,10,DESCRIPTION,ADJECTIVE
asadana,nishshah,5,3,10,DESCRIPTION,ADJECTIVE
asadana,mmlele,5,4,10,DESCRIPTION,ADJECTIVE
asadana,jaynagle,5,5,10,DESCRIPTION,ADJECTIVE
asadana,jashjhav,5,6,10,DESCRIPTION,ADJECTIVE
asadana,voraj,5,7,10,DESCRIPTION,ADJECTIVE
asadana,harranga,5,8,10,DESCRIPTION,ADJECTIVE
asadana,guzh,5,9,10,DESCRIPTION,ADJECTIVE
asadana,aykaranj,5,10,10,DESCRIPTION,ADJECTIVE
asadana,vpatani,5,11,10,DESCRIPTION,ADJECTIVE
sshivara,yketkar,2,1,10,DESCRIPTION,ADJECTIVE
sshivara,samvaity,2,2,10,DESCRIPTION,ADJECTIVE
sshivara,vpatani,2,3,10,DESCRIPTION,ADJECTIVE
nishshah,rnedunur,2,1,10,DESCRIPTION,ADJECTIVE
nishshah,rohsurve,2,2,10,DESCRIPTION,ADJECTIVE
nishshah,jaynagle,2,3,10,DESCRIPTION,ADJECTIVE
nishshah,guzh,2,4,10,DESCRIPTION,ADJECTIVE
nishshah,asadana,2,5,10,DESCRIPTION,ADJECTIVE
nishshah,aykaranj,2,6,10,DESCRIPTION,ADJECTIVE
nishshah,siyer,2,7,10,DESCRIPTION,ADJECTIVE
acsarkis,jashjhav,4,1,10,DESCRIPTION,ADJECTIVE
acsarkis,harranga,4,2,10,DESCRIPTION,ADJECTIVE
acsarkis,guzh,4,3,10,DESCRIPTION,ADJECTIVE
acsarkis,arivero,4,4,10,DESCRIPTION,ADJECTIVE
acsarkis,aykaranj,4,5,10,DESCRIPTION,ADJECTIVE
acsarkis,bsairamr,4,6,10,DESCRIPTION,ADJECTIVE
acsarkis,sshivara,4,7,10,DESCRIPTION,ADJECTIVE
nishshah,yketkar,4,1,10,DESCRIPTION,ADJECTIVE
nishshah,rnedunur,4,2,10,DESCRIPTION,ADJECTIVE
nishshah,rohsurve,4,3,10,DESCRIPTION,ADJECTIVE
nishshah,deng4,4,4,10,DESCRIPTION,ADJECTIVE
nishshah,mmlele,4,5,10,DESCRIPTION,ADJECTIVE
nishshah,jaynagle,4,6,10,DESCRIPTION,ADJECTIVE
nishshah,guzh,4,7,10,DESCRIPTION,ADJECTIVE
nishshah,asadana,4,8,10,DESCRIPTION,ADJECTIVE
nishshah,aykaranj,4,9,10,DESCRIPTION,ADJECTIVE
nishshah,samvaity,4,10,10,DESCRIPTION,ADJECTIVE
nishshah,siyer,4,11,10,DESCRIPTION,ADJECTIVE
nishshah,yangsis,4,12,10,DESCRIPTION,ADJECTIVE
deng4,yketkar,6,1,10,DESCRIPTION,ADJECTIVE
deng4,rnedunur,6,2,10,DESCRIPTION,ADJECTIVE
deng4,rohsurve,6,3,10,DESCRIPTION,ADJECTIVE
deng4,nishshah,6,4,10,DESCRIPTION,ADJECTIVE
deng4,jaynagle,6,5,10,DESCRIPTION,ADJECTIVE
deng4,jashjhav,6,6,10,DESCRIPTION,ADJECTIVE
deng4,harranga,6,7,10,DESCRIPTION,ADJECTIVE
deng4,guzh,6,8,10,DESCRIPTION,ADJECTIVE
deng4,acsarkis,6,9,10,DESCRIPTION,ADJECTIVE
deng4,arivero,6,10,10,DESCRIPTION,ADJECTIVE
deng4,bsairamr,6,11,10,DESCRIPTION,ADJECTIVE
deng4,samvaity,6,12,10,DESCRIPTION,ADJECTIVE
deng4,siyer,6,13,10,DESCRIPTION,ADJECTIVE
deng4,yangsis,6,14,10,DESCRIPTION,ADJECTIVE
deng4,vpatani,6,15,10,DESCRIPTION,ADJECTIVE
aykaranj,nishshah,3,1,10,DESCRIPTION,ADJECTIVE
aykaranj,jaynagle,3,2,10,DESCRIPTION,ADJECTIVE
aykaranj,voraj,3,3,10,DESCRIPTION,ADJECTIVE
aykaranj,guzh,3,4,10,DESCRIPTION,ADJECTIVE
aykaranj,cdingers,3,5,10,DESCRIPTION,ADJECTIVE
aykaranj,asadana,3,6,10,DESCRIPTION,ADJECTIVE
aykaranj,acsarkis,3,7,10,DESCRIPTION,ADJECTIVE
aykaranj,arivero,3,8,10,DESCRIPTION,ADJECTIVE
aykaranj,samvaity,3,9,10,DESCRIPTION,ADJECTIVE
voraj,rnedunur,2,1,10,DESCRIPTION,ADJECTIVE
voraj,pmpande,2,2,10,DESCRIPTION,ADJECTIVE
voraj,jaynagle,2,3,10,DESCRIPTION,ADJECTIVE
voraj,jashjhav,2,4,10,DESCRIPTION,ADJECTIVE
voraj,harranga,2,5,10,DESCRIPTION,ADJECTIVE
voraj,yketkar,6,1,10,DESCRIPTION,ADJECTIVE
voraj,rnedunur,6,2,10,DESCRIPTION,ADJECTIVE
voraj,pmpande,6,3,10,DESCRIPTION,ADJECTIVE
voraj,nishshah,6,4,10,DESCRIPTION,ADJECTIVE
voraj,mmlele,6,5,10,DESCRIPTION,ADJECTIVE
voraj,jaynagle,6,6,10,DESCRIPTION,ADJECTIVE
voraj,jashjhav,6,7,10,DESCRIPTION,ADJECTIVE
voraj,harranga,6,8,10,DESCRIPTION,ADJECTIVE
voraj,cdingers,6,9,10,DESCRIPTION,ADJECTIVE
voraj,asadana,6,10,10,DESCRIPTION,ADJECTIVE
voraj,arivero,6,11,10,DESCRIPTION,ADJECTIVE
voraj,aykaranj,6,12,10,DESCRIPTION,ADJECTIVE
voraj,bsairamr,6,13,10,DESCRIPTION,ADJECTIVE
voraj,samvaity,6,14,10,DESCRIPTION,ADJECTIVE
voraj,sshivara,6,15,10,DESCRIPTION,ADJECTIVE
voraj,vpatani,6,16,10,DESCRIPTION,ADJECTIVE
yketkar,rnedunur,3,1,10,DESCRIPTION,ADJECTIVE
yketkar,deng4,3,2,10,DESCRIPTION,ADJECTIVE
yketkar,nishshah,3,3,10,DESCRIPTION,ADJECTIVE
yketkar,mmlele,3,4,10,DESCRIPTION,ADJECTIVE
yketkar,guzh,3,5,10,DESCRIPTION,ADJECTIVE
yketkar,asadana,3,6,10,DESCRIPTION,ADJECTIVE
yketkar,sshivara,3,7,10,DESCRIPTION,ADJECTIVE
yketkar,yangsis,3,8,10,DESCRIPTION,ADJECTIVE
yketkar,vpatani,3,9,10,DESCRIPTION,ADJECTIVE
arivero,rohsurve,2,1,10,DESCRIPTION,ADJECTIVE
arivero,mmlele,2,2,10,DESCRIPTION,ADJECTIVE
arivero,acsarkis,2,3,10,DESCRIPTION,ADJECTIVE
arivero,aykaranj,2,4,10,DESCRIPTION,ADJECTIVE
arivero,samvaity,2,5,10,DESCRIPTION,ADJECTIVE
arivero,yangsis,2,6,10,DESCRIPTION,ADJECTIVE
pmpande,rnedunur,3,1,10,DESCRIPTION,ADJECTIVE
pmpande,rohsurve,3,2,10,DESCRIPTION,ADJECTIVE
pmpande,mmlele,3,3,10,DESCRIPTION,ADJECTIVE
pmpande,voraj,3,4,10,DESCRIPTION,ADJECTIVE
pmpande,harranga,3,5,10,DESCRIPTION,ADJECTIVE
pmpande,bsairamr,3,6,10,DESCRIPTION,ADJECTIVE
pmpande,yangsis,3,7,10,DESCRIPTION,ADJECTIVE
harranga,rnedunur,2,1,10,DESCRIPTION,ADJECTIVE
harranga,pmpande,2,2,10,DESCRIPTION,ADJECTIVE
harranga,voraj,2,3,10,DESCRIPTION,ADJECTIVE
harranga,asadana,2,4,10,DESCRIPTION,ADJECTIVE
nishshah,yketkar,3,1,10,DESCRIPTION,ADJECTIVE
nishshah,rnedunur,3,2,10,DESCRIPTION,ADJECTIVE
nishshah,rohsurve,3,3,10,DESCRIPTION,ADJECTIVE
nishshah,mmlele,3,4,10,DESCRIPTION,ADJECTIVE
nishshah,jaynagle,3,5,10,DESCRIPTION,ADJECTIVE
nishshah,guzh,3,6,10,DESCRIPTION,ADJECTIVE
nishshah,asadana,3,7,10,DESCRIPTION,ADJECTIVE
nishshah,aykaranj,3,8,10,DESCRIPTION,ADJECTIVE
nishshah,siyer,3,9,10,DESCRIPTION,ADJECTIVE
acsarkis,rnedunur,5,1,10,DESCRIPTION,ADJECTIVE
acsarkis,rohsurve,5,2,10,DESCRIPTION,ADJECTIVE
acsarkis,deng4,5,3,10,DESCRIPTION,ADJECTIVE
acsarkis,jashjhav,5,4,10,DESCRIPTION,ADJECTIVE
acsarkis,harranga,5,5,10,DESCRIPTION,ADJECTIVE
acsarkis,guzh,5,6,10,DESCRIPTION,ADJECTIVE
acsarkis,arivero,5,7,10,DESCRIPTION,ADJECTIVE
acsarkis,aykaranj,5,8,10,DESCRIPTION,ADJECTIVE
acsarkis,bsairamr,5,9,10,DESCRIPTION,ADJECTIVE
acsarkis,sshivara,5,10,10,DESCRIPTION,ADJECTIVE
mmlele,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
mmlele,rnedunur,5,2,10,DESCRIPTION,ADJECTIVE
mmlele,rohsurve,5,3,10,DESCRIPTION,ADJECTIVE
mmlele,pmpande,5,4,10,DESCRIPTION,ADJECTIVE
mmlele,nishshah,5,5,10,DESCRIPTION,ADJECTIVE
mmlele,voraj,5,6,10,DESCRIPTION,ADJECTIVE
mmlele,cdingers,5,7,10,DESCRIPTION,ADJECTIVE
mmlele,asadana,5,8,10,DESCRIPTION,ADJECTIVE
mmlele,arivero,5,9,10,DESCRIPTION,ADJECTIVE
mmlele,bsairamr,5,10,10,DESCRIPTION,ADJECTIVE
mmlele,samvaity,5,11,10,DESCRIPTION,ADJECTIVE
mmlele,sshivara,5,12,10,DESCRIPTION,ADJECTIVE
mmlele,yangsis,5,13,10,DESCRIPTION,ADJECTIVE
aykaranj,rnedunur,5,1,10,DESCRIPTION,ADJECTIVE
aykaranj,pmpande,5,2,10,DESCRIPTION,ADJECTIVE
aykaranj,nishshah,5,3,10,DESCRIPTION,ADJECTIVE
aykaranj,jaynagle,5,4,10,DESCRIPTION,ADJECTIVE
aykaranj,voraj,5,5,10,DESCRIPTION,ADJECTIVE
aykaranj,guzh,5,6,10,DESCRIPTION,ADJECTIVE
aykaranj,cdingers,5,7,10,DESCRIPTION,ADJECTIVE
aykaranj,asadana,5,8,10,DESCRIPTION,ADJECTIVE
aykaranj,acsarkis,5,9,10,DESCRIPTION,ADJECTIVE
aykaranj,arivero,5,10,10,DESCRIPTION,ADJECTIVE
aykaranj,samvaity,5,11,10,DESCRIPTION,ADJECTIVE
aykaranj,vpatani,5,12,10,DESCRIPTION,ADJECTIVE
samvaity,rohsurve,6,1,10,DESCRIPTION,ADJECTIVE
samvaity,pmpande,6,2,10,DESCRIPTION,ADJECTIVE
samvaity,deng4,6,3,10,DESCRIPTION,ADJECTIVE
samvaity,nishshah,6,4,10,DESCRIPTION,ADJECTIVE
samvaity,mmlele,6,5,10,DESCRIPTION,ADJECTIVE
samvaity,jaynagle,6,6,10,DESCRIPTION,ADJECTIVE
samvaity,voraj,6,7,10,DESCRIPTION,ADJECTIVE
samvaity,harranga,6,8,10,DESCRIPTION,ADJECTIVE
samvaity,guzh,6,9,10,DESCRIPTION,ADJECTIVE
samvaity,cdingers,6,10,10,DESCRIPTION,ADJECTIVE
samvaity,arivero,6,11,10,DESCRIPTION,ADJECTIVE
samvaity,aykaranj,6,12,10,DESCRIPTION,ADJECTIVE
samvaity,sshivara,6,13,10,DESCRIPTION,ADJECTIVE
samvaity,yangsis,6,14,10,DESCRIPTION,ADJECTIVE
rnedunur,rohsurve,1,1,10,DESCRIPTION,ADJECTIVE
rnedunur,nishshah,1,2,10,DESCRIPTION,ADJECTIVE
rnedunur,siyer,1,3,10,DESCRIPTION,ADJECTIVE
rnedunur,yketkar,3,1,10,DESCRIPTION,ADJECTIVE
rnedunur,rohsurve,3,2,10,DESCRIPTION,ADJECTIVE
rnedunur,pmpande,3,3,10,DESCRIPTION,ADJECTIVE
rnedunur,nishshah,3,4,10,DESCRIPTION,ADJECTIVE
rnedunur,mmlele,3,5,10,DESCRIPTION,ADJECTIVE
rnedunur,voraj,3,6,10,DESCRIPTION,ADJECTIVE
rnedunur,harranga,3,7,10,DESCRIPTION,ADJECTIVE
rnedunur,asadana,3,8,10,DESCRIPTION,ADJECTIVE
rnedunur,siyer,3,9,10,DESCRIPTION,ADJECTIVE
sshivara,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
sshivara,pmpande,5,2,10,DESCRIPTION,ADJECTIVE
sshivara,mmlele,5,3,10,DESCRIPTION,ADJECTIVE
sshivara,jaynagle,5,4,10,DESCRIPTION,ADJECTIVE
sshivara,jashjhav,5,5,10,DESCRIPTION,ADJECTIVE
sshivara,guzh,5,6,10,DESCRIPTION,ADJECTIVE
sshivara,cdingers,5,7,10,DESCRIPTION,ADJECTIVE
sshivara,acsarkis,5,8,10,DESCRIPTION,ADJECTIVE
sshivara,bsairamr,5,9,10,DESCRIPTION,ADJECTIVE
sshivara,samvaity,5,10,10,DESCRIPTION,ADJECTIVE
sshivara,yangsis,5,11,10,DESCRIPTION,ADJECTIVE
sshivara,vpatani,5,12,10,DESCRIPTION,ADJECTIVE
samvaity,rohsurve,2,1,10,DESCRIPTION,ADJECTIVE
samvaity,mmlele,2,2,10,DESCRIPTION,ADJECTIVE
samvaity,arivero,2,3,10,DESCRIPTION,ADJECTIVE
samvaity,sshivara,2,4,10,DESCRIPTION,ADJECTIVE
samvaity,yangsis,2,5,10,DESCRIPTION,ADJECTIVE
rnedunur,yketkar,5,1,10,DESCRIPTION,ADJECTIVE
rnedunur,rohsurve,5,2,10,DESCRIPTION,ADJECTIVE
rnedunur,pmpande,5,3,10,DESCRIPTION,ADJECTIVE
rnedunur,deng4,5,4,10,DESCRIPTION,ADJECTIVE
rnedunur,nishshah,5,5,10,DESCRIPTION,ADJECTIVE
rnedunur,mmlele,5,6,10,DESCRIPTION,ADJECTIVE
rnedunur,voraj,5,7,10,DESCRIPTION,ADJECTIVE
rnedunur,harranga,5,8,10,DESCRIPTION,ADJECTIVE
rnedunur,asadana,5,9,10,DESCRIPTION,ADJECTIVE
rnedunur,acsarkis,5,10,10,DESCRIPTION,ADJECTIVE
